Sample_name	Population_code
HGDP00971	CHS
HGDP00972	CHS
HGDP00973	CHS
HGDP00974	CHS
HGDP00975	CHS
HGDP00976	CHS
HGDP00977	CHS
HGDP00985	BIA
HGDP00986	BIA
HGDP01021	CHS
HGDP01023	CHS
HGDP01062	SAR
HGDP01063	SAR
HGDP01064	SAR
HGDP01065	SAR
HGDP01066	SAR
HGDP01067	SAR
HGDP01068	SAR
HGDP01069	SAR
HGDP01070	SAR
HGDP01071	SAR
HGDP01072	SAR
HGDP01073	SAR
HGDP01074	SAR
HGDP01075	SAR
HGDP01076	SAR
HGDP01077	SAR
HGDP01078	SAR
HGDP01079	SAR
HGDP01086	BIA
HGDP01090	BIA
HGDP01094	BIA
HGDP01161	TSI
HGDP01162	TSI
HGDP01163	TSI
HGDP01164	TSI
HGDP01166	TSI
HGDP01167	TSI
HGDP01168	TSI
HGDP01169	TSI
HGDP01199	MAN
HGDP01200	MAN
HGDP01201	MAN
HGDP01202	MAN
HGDP01253	MOZ
HGDP01254	MOZ
HGDP01255	MOZ
HGDP01256	MOZ
HGDP01257	MOZ
HGDP01258	MOZ
HGDP01259	MOZ
HGDP01260	MOZ
HGDP01261	MOZ
HGDP01262	MOZ
HGDP01263	MOZ
HGDP01264	MOZ
HGDP01265	MOZ
HGDP01266	MOZ
HGDP01267	MOZ
HGDP01268	MOZ
HGDP01269	MOZ
HGDP01270	MOZ
HGDP01271	MOZ
HGDP01272	MOZ
HGDP01274	MOZ
HGDP01275	MOZ
HGDP01276	MOZ
HGDP01277	MOZ
HGDP01279	MOZ
HGDP01280	MOZ
HGDP01282	MOZ
HGDP01283	MAN
HGDP01284	MAN
HGDP01285	MAN
HGDP01286	MAN
HGDP01287	CHB
HGDP01288	CHB
HGDP01289	CHB
HGDP01290	CHB
HGDP01291	CHB
HGDP01292	CHB
HGDP01293	CHB
HGDP01294	CHB
HGDP01295	CHB
HGDP01296	CHB
HGDP01307	CDX
HGDP01308	CDX
HGDP01309	CDX
HGDP01310	CDX
HGDP01311	CDX
HGDP01312	CDX
HGDP01313	CDX
HGDP01314	CDX
HGDP01315	CDX
HGDP01357	BAS
HGDP01358	BAS
HGDP01359	BAS
HGDP01360	BAS
HGDP01361	BAS
HGDP01362	BAS
HGDP01363	BAS
HGDP01364	BAS
HGDP01365	BAS
HGDP01366	BAS
HGDP01367	BAS
HGDP01368	BAS
HGDP01369	BAS
HGDP01370	BAS
HGDP01372	BAS
HGDP01373	BAS
HGDP01374	BAS
HGDP01375	BAS
HGDP01376	BAS
HGDP01377	BAS
HGDP01378	BAS
HGDP01379	BAS
HGDP01380	BAS
HG00119	GBR
HG00099	GBR
HG00102	GBR
HG00121	GBR
HG00114	GBR
HG00107	GBR
HG00126	GBR
HG00138	GBR
HG00140	GBR
HG00133	GBR
HG00157	GBR
HG00145	GBR
HG00176	FIN
HG00183	FIN
HG00171	FIN
HG00152	GBR
HG00188	FIN
HG00190	FIN
HG00258	GBR
HG00260	GBR
HG00253	GBR
HG00239	GBR
HG00265	GBR
HG00234	GBR
HG00246	GBR
HG00277	FIN
HG00272	FIN
HG00330	FIN
HG00335	FIN
HG00359	FIN
HG00361	FIN
HG00309	FIN
HG00284	FIN
HG00311	FIN
HG00342	FIN
HG00323	FIN
HG00328	FIN
HG00304	FIN
HG00429	CHS
HG00436	CHS
HG00443	CHS
HG00448	CHS
HG00378	FIN
HG00380	FIN
HG00373	FIN
HG00366	FIN
HG00405	CHS
HG00450	CHS
HG00474	CHS
HG00513	CHS
HG00479	CHS
HG00501	CHS
HG00544	CHS
HG00551	PUR
HG00537	CHS
HG00556	CHS
HG00525	CHS
HG00594	CHS
HG00532	CHS
HG00582	CHS
HG00619	CHS
HG00621	CHS
HG00626	CHS
HG00607	CHS
HG00614	CHS
HG00640	PUR
HG00638	PUR
HG00599	CHS
HG00652	CHS
HG00633	CHS
HG00657	CHS
HG00097	GBR
HG00664	CHS
HG00100	GBR
HG00671	CHS
HG00105	GBR
HG00676	CHS
HG00112	GBR
HG00683	CHS
HG01028	CDX
HG01047	PUR
HG00690	CHS
HG00739	PUR
HG00741	PUR
HG00708	CHS
HG00096	GBR
HG00734	PUR
HG00866	CDX
HG01066	PUR
HG01073	PUR
HG00174	FIN
HG01061	PUR
HG00129	GBR
HG01080	PUR
HG00131	GBR
HG01085	PUR
HG00155	GBR
HG01097	PUR
HG00124	GBR
HG01105	PUR
HG00150	GBR
HG01054	PUR
HG00136	GBR
HG01092	PUR
HG00128	GBR
HG00117	GBR
HG00703	CHS
HG00130	GBR
HG00143	GBR
HG01100	PUR
HG00109	GBR
HG00148	GBR
HG01148	CLM
HG00111	GBR
HG00179	FIN
HG01150	CLM
HG00123	GBR
HG00181	FIN
HG01162	PUR
HG00116	GBR
HG00237	GBR
HG01167	PUR
HG00142	GBR
HG00251	GBR
HG01112	CLM
HG00154	GBR
HG00256	GBR
HG01124	CLM
HG00104	GBR
HG00232	GBR
